Trend of Change,Floor,Rooms,Property Type,Block and Parcel,Transaction Price,Transaction Date,Area (m²),Address,Serial Number
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 32% ב 1.9 שנים","שלישית","4","דירה בבית קומות","6429-276-41","3,050,000 ₪","14/02/2022","113.3","נעמי שמר 2","58"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 34.7% ב 4.4 שנים","רביעית, חמישית","6","דירה בבית קומות","6429-300-12","4,850,000 ₪","17/01/2022","190","דוד זהבי 14","59"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 15.1% ב 2.3 שנים","קרקע תחתונה+ +שלוש עשרה","5","דירה בבית קומות","6430-246-49","4,603,000 ₪","07/01/2022","144.84","יאיר רוזנבלום 8","60"
"","קומה ‎2‏","4","דירה בבית קומות","6430-244-7","2,715,000 ₪","27/12/2021","99.4","ללא כתובת","62"
"","רביעית + חמישית","6","דירה בבית קומות","6429-297-14","4,500,000 ₪","20/12/2021","207","דוד זהבי 10","63"
"","שניה","5","דירה בבית קומות","6429-293-7","3,388,000 ₪","09/12/2021","113.59","משה וילנסקי 9","64"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 94.3% ב 7.8 שנים","שישית, שביעית","7","דירה בבית קומות","6430-223-37","5,041,000 ₪","25/11/2021","198.8","יאיר רוזנבלום 17","65"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 72.8% ב 6.9 שנים","ראשונה","4","דירה בבית קומות","6430-257-10","3,050,000 ₪","25/11/2021","107.41","אהוד מנור 1","66"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 70.2% ב 8.4 שנים","ראשונה","4","דירה בבית קומות","6429-284-3","2,875,000 ₪","23/11/2021","90.6","משה וילנסקי 8","67"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 121.1% ב 13.4 שנים","רביעית","5","דירה בבית קומות","6430-276-31","3,150,000 ₪","22/11/2021","116.09","מאיר אריאל 13","68"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 76.8% ב 7 שנים","שישית","5","דירה בבית קומות","6429-285-37","3,890,000 ₪","07/11/2021","133.91","שושנה דמארי 3","69"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 130% ב 13.4 שנים","שניה","6","דירה בבית קומות","6430-276-44","3,600,000 ₪","31/10/2021","130.67","יאיר רוזנבלום 20","70"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 78.9% ב 9.2 שנים","שניה","4","דירה בבית קומות","6429-282-6","2,880,000 ₪","27/10/2021","102.7","ג'ו עמר 9","72"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 92.2% ב 12.1 שנים","שניה","6","דירה בבית קומות","6430-276-64","3,200,000 ₪","30/09/2021","129.96","יאיר רוזנבלום 22","73"
"","שישית","4","דירה","6429-276-23","2,620,000 ₪","22/09/2021","113.7","נעמי שמר 2","74"
"","שלישית","4","דירה בבית קומות","6430-260-16","2,630,000 ₪","09/09/2021","102","אהוד מנור 4","75"
"","שביעית","4","דירה","6429-276-27","2,640,000 ₪","01/09/2021","113.5","נעמי שמר 2","76"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 66.8% ב 11.8 שנים","ראשונה","4","דירה בבית קומות","6429-299-4","2,360,000 ₪","31/08/2021","104","ג'ו עמר 2","77"
"","שביעית","4","דירה","6429-276-25","2,600,000 ₪","30/08/2021","108.9","עלי מוהר 2","78"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 16.7% ב 4.4 שנים","רביעית","4","דירה בבית קומות","6429-287-14","2,690,000 ₪","26/08/2021","102.6","וילנסקי משה 17","79"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 35.3% ב 6.8 שנים","שניה","4","דירה בבית קומות","6429-284-7","2,530,000 ₪","03/08/2021","90.6","משה וילנסקי 8","80"
"","ראשונה","6","דירה בבית קומות","6430-266-5","3,280,000 ₪","19/07/2021","144","יאיר רוזנבלום 34","82"
"","שביעית","4","דירה","6429-276-59","2,580,000 ₪","14/07/2021","107.9","עלי מוהר 2","83"
"","רביעית","6","דירה בבית קומות","6430-260-18","3,350,000 ₪","07/07/2021","145.9","אהוד מנור 4","84"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 78.1% ב 10.7 שנים","שלישית","5","דירה בבית קומות","6430-256-9","3,295,000 ₪","06/07/2021","135.99","קרן המוסיקה 4","85"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 40.4% ב 6.4 שנים","שלישית","4","דירה בבית קומות","6429-344-12","2,610,000 ₪","05/07/2021","108.7","קרן המוסיקה 5","86"
"","שניה","4","דירה","6429-276-5","2,470,000 ₪","23/06/2021","108.5","נעמי שמר 2","87"
"","שישית","4","דירה","6429-276-55","2,500,000 ₪","23/06/2021","107.8","נעמי שמר 2","88"
"","רביעית","4","דירה בבית קומות","6429-276-15","2,390,000 ₪","17/06/2021","113.3","עלי מוהר 2","89"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 64.9% ב 8.6 שנים","שלישית","5","דירה בבית קומות","6429-285-27","3,190,000 ₪","16/06/2021","127.65","שושנה דמארי 3","90"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.2% ב 7.9 שנים","שישית+ שביעית","6","דירה בבית קומות","6430-276-37","4,400,000 ₪","08/06/2021","167.25","מאיר אריאל 13","92"
"","רביעית","4","דירה בבית קומות","6429-345-13","2,410,000 ₪","31/05/2021","101.85","משה וילנסקי 2","93"
"","שניה","4","דירה בבית קומות","6430-260-12","2,500,000 ₪","31/05/2021","102","אהוד מנור 4","94"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 48.4% ב 7.4 שנים","חמישית","6","דירה בבית קומות","6429-303-31","3,250,000 ₪","27/05/2021","144.3","דוד זהבי 3","95"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 67.2% ב 11.4 שנים","ראשונה","4","דירה בבית קומות","6429-287-3","2,550,000 ₪","25/05/2021","102.3","וילנסקי משה 17","96"
"","חמישית","4","דירה","6429-276-51","2,360,000 ₪","23/05/2021","107","עלי מוהר 2","97"
"","שישית","4","דירה","6429-276-21","2,390,000 ₪","23/05/2021","107.8","עלי מוהר 2","98"
"","שניה","6","דירה בבית קומות","6430-266-9","3,160,000 ₪","18/05/2021","144.3","יאיר רוזנבלום 34","99"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 53.5% ב 9.1 שנים","חמישית","4","דירה בבית קומות","6429-274-31","2,410,000 ₪","09/05/2021","110.8","עלי מוהר 6","100"
"","שניה","4","דירה","6429-276-39","2,370,000 ₪","06/05/2021","108","נעמי שמר 2","102"
"","חמישית","4","דירה","6429-276-50","2,400,000 ₪","04/05/2021","108","עלי מוהר 2","103"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 48.9% ב 8.8 שנים","שלישית","4","דירה בבית קומות","6430-223-45","2,370,000 ₪","02/05/2021","104.3","יאיר רוזנבלום 17","104"
"","רביעית","4","דירה","6429-276-13","2,370,000 ₪","29/04/2021","108","עלי מוהר 2","105"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 79.6% ב 11.4 שנים","שלישית","4","דירה בבית קומות","6430-233-11","2,550,000 ₪","27/04/2021","103.2","מאיר אריאל 12","106"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 52.3% ב 10.4 שנים","שלישית","5","דירה בבית קומות","6430-256-22","3,000,000 ₪","22/04/2021","140.33","משה סנה 25","107"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 67.5% ב 8.4 שנים","רביעית","5","דירה בבית קומות","6429-282-12","3,190,000 ₪","20/04/2021","131.1","ג'ו עמר 9","108"
"","שלישית","6","דירה בבית קומות","6430-260-14","3,185,000 ₪","20/04/2021","145.9","אהוד מנור 4","109"
"","רביעית","4","דירה","6429-276-47","2,340,000 ₪","19/04/2021","108","נעמי שמר 2","110"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 46.6% ב 8.1 שנים","רביעית","4","דירה בבית קומות","6430-228-11","2,500,000 ₪","13/04/2021","118.4","יאיר רוזנבלום 16","112"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 113.4% ב 13.1 שנים","רביעית","5","דירה בבית קומות","6430-276-72","3,000,000 ₪","12/04/2021","116.69","יאיר רוזנבלום 22","113"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 67.7% ב 10.3 שנים","ראשונה","6","דירה בבית קומות","6430-233-22","3,170,000 ₪","08/04/2021","143.9","מאיר אריאל 12","114"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 66.3% ב 11.3 שנים","שניה","6","דירה בבית קומות","6429-292-23","3,150,000 ₪","22/03/2021","127.96","ג'ו עמר 6","115"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 58.1% ב 6.3 שנים","קומה ‎5‏","6","דירה בבית קומות","6430-225-17","3,400,000 ₪","22/03/2021","144.8","עפרה חזה 6","116"
"","חמישית","4","דירה","6429-276-49","2,390,000 ₪","11/03/2021","114.1","נעמי שמר 2","117"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 100.9% ב 12.9 שנים","חמישית","5","דירה בבית קומות","6430-276-34","3,150,000 ₪","02/03/2021","121.16","מאיר אריאל 13","118"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 74.9% ב 11.6 שנים","שניה","5","דירה בבית קומות","6429-293-8","2,920,000 ₪","24/02/2021","118.3","משה וילנסקי 9","119"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 68.9% ב 11.6 שנים","שלישית","5","דירה בבית קומות","6429-309-8","2,800,000 ₪","21/02/2021","129.93","שמחה הולצברג 1","120"
"","חמישית","4","דירה בבית קומות","6429-276-17","2,350,000 ₪","14/02/2021","107.6","נעמי שמר 2","122"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 6.7% ב 3.4 שנים","שלישית","4","דירה בבית קומות","6429-276-10","2,400,000 ₪","12/02/2021","108","נעמי שמר 2","123"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 64.2% ב 9.9 שנים","שניה","6","דירה בבית קומות","6429-290-8","3,170,000 ₪","01/02/2021","140.09","ג'ו עמר 5","124"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.2% ב 8.6 שנים","ראשונה","4","דירת גן","6429-280-39","2,700,000 ₪","01/02/2021","94.5","יאיר רוזנבלום 4","125"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 87.2% ב 11.5 שנים","שלישית","4","דירה בבית קומות","6430-249-21","2,700,000 ₪","26/01/2021","121.96","אברהם פררה 1","126"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 45.5% ב 8.9 שנים","ראשונה","4","דירת גן","6430-223-39","2,560,000 ₪","26/01/2021","93.3","יאיר רוזנבלום 17","127"
"","שישית","4","דירה","6429-276-52","2,410,000 ₪","25/01/2021","113","עלי מוהר 2","128"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 64.7% ב 8.5 שנים","שלישית","6","דירה בבית קומות","6429-274-8","3,150,000 ₪","21/01/2021","149.7","עלי מוהר 4","129"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 25.1% ב 5.1 שנים","שלישית","4","דירה בבית קומות","6429-287-11","2,440,000 ₪","19/01/2021","102.6","וילנסקי משה 17","130"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 31.9% ב 6 שנים","קומה ‎3‏","4","דירה בבית קומות","6430-225-35","2,400,000 ₪","13/01/2021","104","עפרה חזה 10","132"
"","ראשונה","6","דירה בבית קומות","6429-294-19","3,275,000 ₪","12/01/2021","148.5","דוד זהבי 4","133"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 46.9% ב 7.2 שנים","שלישית","4","דירה בבית קומות","6430-224-10","2,395,000 ₪","07/01/2021","104.8","ללא כתובת","134"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 13.9% ב 4.8 שנים","רביעית","4","דירה בבית קומות","6430-276-13","2,380,000 ₪","06/01/2021","90.74","מאיר אריאל 13","135"
"","קומה ‎6‏, קומה ‎7‏","7","דירה בבית קומות","6430-243-14","4,750,000 ₪","06/01/2021","193.7","אהוד מנור 12","136"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 69.1% ב 11.5 שנים","ראשונה","4","דירה בבית קומות","6429-309-4","2,300,000 ₪","06/01/2021","102.82","שמחה הולצברג 1","137"
"","קרקע","5","דירת גן","6429-286-2","3,050,000 ₪","30/12/2020","120","דוד זהבי 18","138"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 115.9% ב 11.5 שנים","קרקע עליונה","6","דירה בבית קומות","6430-251-1","4,115,000 ₪","29/12/2020","130.89","אהוד מנור 15","139"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 59.4% ב 7.7 שנים","קרקע","5","דירה בבית קומות","6429-285-20","3,720,000 ₪","27/12/2020","110.15","שושנה דמארי 3","140"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 2.8% ב 3.8 שנים","קומה ‎3‏","4","דירה בבית קומות","6430-243-8","2,375,000 ₪","24/12/2020","102.4","אהוד מנור 12","142"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 47.2% ב 8.5 שנים","ראשונה","4","דירה בבית קומות","6429-285-4","2,370,000 ₪","22/12/2020","104.44","שושנה דמארי 1","143"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 56.8% ב 10.9 שנים","שניה","4","דירה בבית קומות","6430-259-20","2,290,000 ₪","21/12/2020","105.9","משה סנה 31","144"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 21% ב 4.5 שנים","ראשונה","4","דירה בבית קומות","6429-287-5","2,510,000 ₪","21/12/2020","102.6","וילנסקי משה 17","145"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 65.7% ב 10.2 שנים","שניה","4","דירה בבית קומות","6429-300-20","2,320,000 ₪","15/12/2020","104","דוד זהבי 14","146"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 44.8% ב 11.3 שנים","שישית ושביעית","6","דירה בבית קומות","6429-293-22","3,800,000 ₪","13/12/2020","184.45","משה וילנסקי 9","147"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 40.7% ב 7 שנים","קומה ‎3‏","4","דירה בבית קומות","6430-230-28","2,470,000 ₪","10/12/2020","119.3","יוסי בנאי 9","148"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 32.1% ב 6.2 שנים","ראשונה","4","דירה בבית קומות","6429-287-4","2,365,000 ₪","08/12/2020","102.4","וילנסקי משה 17","149"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 58.1% ב 10 שנים","רביעית+חמישית","6","דירה בבית קומות","6430-256-12","4,000,000 ₪","08/12/2020","199.48","קרן המוסיקה 4","150"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 6.7% ב 3.7 שנים","שניה","5","דירה בבית קומות","6429-307-7","2,775,000 ₪","02/12/2020","130.5","דוד זהבי 15","152"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 52.4% ב 8 שנים","שניה","4","דירה בבית קומות","6430-223-6","2,515,000 ₪","02/12/2020","103.8","יאיר רוזנבלום 17","153"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 87.2% ב 10.7 שנים","קרקע","5","דירת גן","6430-256-2","3,650,000 ₪","26/11/2020","121.02","קרן המוסיקה 4","154"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 88.9% ב 11.5 שנים","רביעית","5","דירה בבית קומות","6430-251-14","2,900,000 ₪","25/11/2020","130.41","אהוד מנור 15","155"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 49.8% ב 7.6 שנים","שניה","4","דירה בבית קומות","6430-270-4","2,450,000 ₪","22/11/2020","88","ללא כתובת","156"
"","ראשונה","4","דירה בבית קומות","6429-292-2","2,280,000 ₪","12/11/2020","93.64","ג'ו עמר 6","157"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 58.8% ב 11.3 שנים","שלישית","5","דירה בבית קומות","6430-240-8","2,660,000 ₪","11/11/2020","123","סשה ארגוב 7","158"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 69.7% ב 10.7 שנים","קרקע","5","דירת גן","6429-297-3","3,275,000 ₪","04/11/2020","125","דוד זהבי 10","159"
"","שניה","4","דירה בבית קומות","6429-276-37","2,360,000 ₪","02/11/2020","113.8","נעמי שמר 2","160"
"","חמישית","4","דירה בבית קומות","6429-276-19","2,380,000 ₪","29/10/2020","113.7","עלי מוהר 2","162"
"","רביעית","4","דירה בבית קומות","6429-276-45","2,335,000 ₪","27/10/2020","114","עלי מוהר 2","163"
"","חמישית, שישית","6","קוטג' חד משפחתי","6429-294-14","4,350,000 ₪","22/10/2020","203.15","דוד זהבי 2","164"
"","קרקע","4","דירת גן","6430-260-4","2,699,000 ₪","19/10/2020","88.8","אהוד מנור 4","165"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 55.4% ב 7.7 שנים","קרקע + חמישית","6","דירה בבית קומות","6430-246-18","3,185,000 ₪","12/10/2020","133.02","יאיר רוזנבלום 8","166"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 58.9% ב 9.6 שנים","קרקע","6","דירת גן","6430-259-14","3,400,000 ₪","08/10/2020","138.2","משה סנה 31","167"
"","שביעית","4","דירה בבית קומות","6429-276-56","2,420,000 ₪","24/09/2020","115.8","עלי מוהר 2","168"
"","חמישית","4","דירה בבית קומות","6429-276-48","2,385,000 ₪","24/09/2020","113.3","עלי מוהר 2","169"
"","שניה","4","דירה בבית קומות","6430-267-8","2,380,000 ₪","23/09/2020","99","משה סנה 33","170"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 39% ב 9.9 שנים","ראשונה","4","דירה בבית קומות","6430-276-4","2,280,000 ₪","21/09/2020","90.74","מאיר אריאל 13","172"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 95.7% ב 11.6 שנים","קרקע וראשונה","5","דירת גן","6429-305-2","4,050,000 ₪","15/09/2020","140.13","דוד זהבי 5","173"
"","שתים עשרה","5","דירה בבית קומות","6430-253-48","3,000,000 ₪","12/08/2020","113","קרן המוסיקה 2","174"
